GO_ID,GO_term,gene_set_size,median_effect_in_set,median_effect_outside_set,effect_difference,statistic,p_value,adjusted_p_value,significant
GO:0006108,malate metabolic process,18,-0.011334641565789099,0.0002877213158555,-0.011622362881644598,251835.0,0.3268363135729223,0.5150426280912465,False
GO:0010052,guard cell differentiation,22,-0.00059899077109285,0.0002877213158555,-0.00088671208694835,312285.0,0.3268658401309139,0.5150426280912465,False
GO:0071215,cellular response to abscisic acid stimulus,44,0.0055069534351503,0.0002877213158555,0.0052192321192948,770397.0,0.32720355196385065,0.5150426280912465,False
GO:0009934,regulation of meristem structural organization,21,0.0097205085844735,0.0002877213158555,0.009432787268618001,380649.0,0.3299004223647043,0.5184875667365153,False
GO:0009664,plant-type cell wall organization,69,0.0002877213158555,0.0002877213158555,0.0,1037399.0,0.3332094960893638,0.5218339421301743,False
GO:0048578,"positive regulation of long-day photoperiodism, flowering",10,-0.0040240165178638,0.0002877213158555,-0.0043117378337193,132996.0,0.3337874271178075,0.5218339421301743,False
GO:1902584,positive regulation of response to water deprivation,21,-0.0010793546497093,0.0002877213158555,-0.0013670759655648001,297782.0,0.3343697871811899,0.5218339421301743,False
GO:0030497,fatty acid elongation,16,0.0029871838883707503,0.0002877213158555,0.00269946257251525,294342.0,0.33442107265428356,0.5218339421301743,False
GO:0006635,fatty acid beta-oxidation,31,0.0222500428930001,0.0002877213158555,0.0219623215771446,550387.0,0.33458764524817064,0.5218339421301743,False
GO:0051865,protein autoubiquitination,19,-0.0060036836241666,0.0002877213158555,-0.0062914049400221,267708.0,0.3366320043937133,0.5242208312695993,False
GO:0043622,cortical microtubule organization,44,-0.0077324458469863,0.0002877213158555,-0.008020167162841799,650537.0,0.33748162700563133,0.5247427736977804,False
GO:1901001,negative regulation of response to salt stress,15,0.0173543633603371,0.0002877213158555,0.017066642044481602,276646.0,0.3402005427993119,0.5281652262637718,False
GO:0000082,G1/S transition of mitotic cell cycle,35,0.0078772337415039,0.0002877213158555,0.007589512425648401,617090.0,0.3429432041583659,0.5316140854734547,False
GO:0048507,meristem development,26,0.0014922069349344999,0.0002877213158555,0.0012044856190789998,464671.0,0.34387520118715564,0.5319544917775808,False
GO:0010374,stomatal complex development,27,0.0034802003765152,0.0002877213158555,0.0031924790606596997,481580.0,0.3446687980037104,0.5319544917775808,False
