Gene,spaceflight_effect,standard_error,t_statistic,p_value,adjusted_p_value,significant
AT5G54490,0.2776328712906138,0.0334204943538824,8.307264050340454,4.869424232600488e-09,6.840270762221268e-06,True
AT2G36100,-0.6462333060079655,0.0795139720227857,-8.127292469086802,7.555790933736758e-09,1.017166871992087e-05,True
AT5G13900,-0.5087122401082153,0.0635045563856319,-8.010641583244132,1.0067680866738926e-08,1.3011068044938715e-05,True
AT5G57660,-0.1946843247919627,0.0244297708459769,-7.969142486820456,1.1154719050093022e-08,1.3861454530363668e-05,True
AT4G29930,-0.2767857294694427,0.0348261110309485,-7.947649659287949,1.1764100378682868e-08,1.4077271079069064e-05,True
AT4G21660,0.2207785535615208,0.0279254429406119,7.906000059911053,1.3043569303182069e-08,1.4865480620830976e-05,True
AT3G24020,-0.5195658440981952,0.0657940128495766,-7.896855984237753,1.3342998483521568e-08,1.4865480620830976e-05,True
AT3G17130,-0.1875721973279264,0.0238603384079008,-7.861254694770642,1.4577220700744509e-08,1.5699180787345147e-05,True
AT5G47450,-0.6706742975725801,0.0857015921751717,-7.825692388558427,1.5926645372088746e-08,1.654536382982696e-05,True
AT5G41590,-0.2415697570396525,0.0309518323947385,-7.804699701098043,1.6782409247562732e-08,1.654536382982696e-05,True
AT5G08050,-0.3450186902179827,0.0442222844513424,-7.801919202016915,1.6899223324283943e-08,1.654536382982696e-05,True
AT4G13580,-0.5902919110460926,0.0759205269377224,-7.775129268139938,1.8068134028772263e-08,1.716951006869421e-05,True
AT4G36610,-0.3310189943978682,0.0427975380385081,-7.734533563590171,1.9998805458692448e-08,1.846118301613984e-05,True
AT3G55230,-0.6497112962842387,0.0847377544827087,-7.667317835485202,2.3670416141015123e-08,2.12435409750016e-05,True
AT3G13650,-0.3003468859759868,0.0392823207049494,-7.64585392578764,2.498236003508836e-08,2.1815001901991077e-05,True
AT3G21560,-0.4870603347132997,0.0639587721167843,-7.615223347689683,2.6984219198426433e-08,2.2942977317946303e-05,True
AT5G25350,0.4511806507013079,0.059559201497604,7.575330752536337,2.983906985131719e-08,2.4598877714544997e-05,True
AT1G73650,-0.2739705151521339,0.0362048050632908,-7.567241825310116,3.0454520677885414e-08,2.4598877714544997e-05,True
