Gene,expression_range
AT1G01980,0.1022361431632837
AT1G01990,0.33718651893751017
AT1G02000,0.5071288641020006
AT1G02010,0.36557885827765807
AT1G02020,0.4586281993723898
AT1G02030,0.3224761524913064
AT1G02040,0.11614916973784539
AT1G02050,0.31929142291354873
AT1G02060,0.4092876185917594
AT1G02065,0.1016524999438922
AT1G02067,0.1022361431632837
AT1G02070,0.2935531356676755
AT1G02080,0.6412455619976418
AT1G02090,0.4845310986755744
AT1G02100,0.48155317267984366
AT1G02110,0.502319929812719
AT1G02120,0.3468513991508635
AT1G02130,0.4649886331775399
AT1G02140,0.7108766086592135
AT1G02145,0.34118333260821077
AT1G02150,0.7579747169557768
AT1G02160,0.6144001529079546
AT1G02170,0.35510383142084256
AT1G02180,0.44984551166944386
AT1G02190,0.1019935489625394
AT1G02205,0.3909098280015038
AT1G02210,0.1022361431632837
AT1G02220,1.0160278460203027
AT1G02230,0.3973487506519406
AT1G02250,0.1019935489625394
AT1G02260,0.5334468134549883
AT1G02270,0.4837460552458876
AT1G02280,0.6194637123498785
AT1G02290,0.45717889941250983
AT1G02300,0.5402834549891405
AT1G02305,0.7988890777440047
AT1G02310,0.4618565132105914
AT1G02320,0.1154390614062556
AT1G02330,1.0277643347619496
AT1G02335,0.7957543421547741
AT1G02340,0.48899272802883337
AT1G02350,0.2625871381381228
AT1G02360,0.6905698124635605
AT1G02370,0.39612285411063997
AT1G02380,0.3080361266027955
AT1G02390,0.33129204265353795
AT1G02400,0.4574996443198535
AT1G02405,0.1482101380816071
AT1G02410,0.9575250891125053
AT1G02420,0.2164535026160208
AT1G02430,0.3531160720573559
AT1G02440,0.2483568534511933
AT1G02450,0.2817608830744107
AT1G02460,0.544740986091873
AT1G02470,0.22303107552557438
AT1G02475,0.4753660277751986
AT1G02480,0.11921321204849218
AT1G02490,0.44267405113971225
AT1G02500,1.1712506389654451
AT1G02510,0.1022361431632837
AT1G02520,0.36779299820863265
AT1G02530,0.1682192821361995
AT1G02540,0.1022361431632837
AT1G02550,0.1022361431632837
AT1G02560,0.5050446878000086
AT1G02570,0.5282543069286929
AT1G02575,0.555545310180741
AT1G02580,0.15008991000605168
AT1G02590,0.1022361431632837
AT1G02600,0.1022361431632837
AT1G02610,0.4264984298976664
AT1G02620,0.1022361431632837
AT1G02630,0.1035798262364268
AT1G02640,0.38764842720014103
AT1G02650,0.2720527652373964
AT1G02660,0.3154542818625985
AT1G02670,0.281632580559453
AT1G02680,0.46871337440853167
AT1G02690,0.4666300318014458
AT1G02700,1.6809158524135541
AT1G02705,0.443043335559321
AT1G02710,0.12924459010556022
AT1G02720,0.3717889834762247
AT1G02730,0.6351602573403109
AT1G02740,0.3133492474900546
AT1G02750,0.457903207853929
AT1G02770,0.18157710664102739
AT1G02780,0.8145832521674192
AT1G02790,0.1643630982626555
AT1G02800,0.1777756714743017
AT1G02810,0.3765055858133182
AT1G02813,0.22308556411243888
AT1G02816,0.5632900695357714
AT1G02820,0.1819241948978447
AT1G02830,0.1048106872518009
AT1G02840,0.4068170484761051
AT1G02850,0.6339492999714217
AT1G02860,0.6767865713516272
AT1G02870,0.5995924461162199
AT1G02880,0.5925383028910429
AT1G02890,0.537213234451764
AT1G02900,1.1130026014088255
AT1G02910,0.3096627284692264
AT1G02920,2.2410759865360976
AT1G02930,2.430965667268221
AT1G02940,0.1022361431632837
AT1G02950,0.8733293919921647
AT1G02952,0.1022361431632837
AT1G02960,0.6435348337629385
AT1G02965,0.1022361431632837
AT1G02970,0.2466184877070623
AT1G02980,0.2930277571783158
AT1G02990,0.38290658226700175
AT1G03000,0.3070138590217504
AT1G03010,0.3911254543312734
AT1G03020,0.2540887483790458
AT1G03030,0.5195081884819921
AT1G03040,0.5352891800297168
AT1G03050,0.1182540156723805
AT1G03055,0.16623168838405858
AT1G03060,0.7754574238867874
AT1G03070,0.2393456098876245
AT1G03080,0.7463569653314008
AT1G03090,0.5650469754760556
AT1G03100,0.376069277429276
AT1G03103,0.1022361431632837
AT1G03106,3.5182315863679006
AT1G03110,0.7595351651355051
AT1G03120,0.2920422015813473
AT1G03130,0.3380045654378963
AT1G03140,0.3532961501784795
AT1G03150,0.5321322296477278
AT1G03160,0.42565332516291243
AT1G03165,0.1016524999438922
AT1G03170,0.1963143083052141
AT1G03180,0.48234692843221066
AT1G03190,0.2969089512348322
AT1G03200,0.3497624155586585
AT1G03210,0.5629477290699874
AT1G03220,0.8560684703798227
AT1G03230,0.6185273044522733
AT1G03240,0.2473662805171149
AT1G03250,0.34573334101439845
AT1G03260,0.2718461439241878
AT1G03270,0.3388726110877748
AT1G03280,0.4598783872269617
AT1G03290,0.3827453359696993
AT1G03300,0.1022361431632837
AT1G03310,0.3344249875229335
AT1G03320,0.1022361431632837
AT1G03325,0.1022361431632837
AT1G03330,0.6184019857051919
AT1G03340,0.331273681459997
AT1G03350,0.5166136465894264
AT1G03360,0.5218927132562757
AT1G03365,0.3980825899982485
AT1G03370,0.29087696133168245
AT1G03380,0.4627223328778155
AT1G03390,0.1022361431632837
AT1G03395,0.1022361431632837
AT1G03400,0.317223425942545
AT1G03410,0.9032511463100571
AT1G03430,0.4557965062689867
AT1G03440,0.3212074392086754
AT1G03445,0.2631009353771941
