Gene,GO_ID,GO_term
AT1G02900,GO:0048364,root development
AT1G02910,GO:0010270,photosystem II oxygen evolving complex assembly
AT1G02920,GO:0006749,glutathione metabolic process
AT1G02920,GO:0009407,toxin catabolic process
AT1G02920,GO:0042742,defense response to bacterium
AT1G02920,GO:0046686,response to cadmium ion
AT1G02920,GO:0050832,defense response to fungus
AT1G02930,GO:0006749,glutathione metabolic process
AT1G02930,GO:0006979,response to oxidative stress
AT1G02930,GO:0009407,toxin catabolic process
AT1G02930,GO:0009414,response to water deprivation
AT1G02930,GO:0046686,response to cadmium ion
AT1G02940,GO:0006749,glutathione metabolic process
AT1G02940,GO:0009407,toxin catabolic process
AT1G02950,GO:0006749,glutathione metabolic process
AT1G02950,GO:0009407,toxin catabolic process
AT1G02952,GO:0008150,biological_process
AT1G02960,,
AT1G02965,GO:0008150,biological_process
AT1G02970,GO:0000076,DNA replication checkpoint signaling
AT1G02970,GO:1902750,negative regulation of cell cycle G2/M phase transition
AT1G02980,GO:0006511,ubiquitin-dependent protein catabolic process
AT1G02980,GO:0009733,response to auxin
AT1G02980,GO:0009734,auxin-activated signaling pathway
AT1G02980,GO:0009753,response to jasmonic acid
AT1G02980,GO:0009867,jasmonic acid mediated signaling pathway
AT1G02980,GO:0016567,protein ubiquitination
AT1G02980,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process
AT1G02990,GO:0045893,positive regulation of DNA-templated transcription
AT1G03000,GO:0006635,fatty acid beta-oxidation
AT1G03000,GO:0016558,protein import into peroxisome matrix
AT1G03000,GO:0043335,protein unfolding
AT1G03010,GO:0009860,pollen tube growth
AT1G03010,GO:0016567,protein ubiquitination
AT1G03020,GO:0010167,response to nitrate
AT1G03030,,
AT1G03040,GO:0006355,regulation of DNA-templated transcription
AT1G03040,GO:0006357,regulation of transcription by RNA polymerase II
AT1G03050,GO:0006900,vesicle budding from membrane
AT1G03050,GO:0009860,pollen tube growth
AT1G03050,GO:0048268,clathrin coat assembly
AT1G03050,GO:0072583,clathrin-dependent endocytosis
AT1G03050,GO:0072659,protein localization to plasma membrane
AT1G03055,GO:0010223,secondary shoot formation
AT1G03055,GO:1901601,strigolactone biosynthetic process
AT1G03060,GO:0007033,vacuole organization
AT1G03060,GO:0009825,multidimensional cell growth
AT1G03060,GO:0010090,trichome morphogenesis
AT1G03060,GO:0033962,P-body assembly
AT1G03060,GO:0071472,cellular response to salt stress
AT1G03060,GO:0080001,mucilage extrusion from seed coat
AT1G03060,GO:0160109,plant gross anatomical part developmental process
AT1G03060,GO:1902892,positive regulation of root hair elongation
AT1G03060,GO:1903335,regulation of vacuolar transport
AT1G03060,GO:1904580,regulation of intracellular mRNA localization
AT1G03070,GO:0030968,endoplasmic reticulum unfolded protein response
AT1G03070,GO:0070588,calcium ion transmembrane transport
AT1G03080,,
