Gene,Flight_Mean,Ground_Mean,Effect,P_Value,Adjusted_P_Value,Significant,-log10_p
AT1G78770,7.290881322456695,7.5525357693631125,-0.2616544469064177,0.3544571063721309,0.6374674289001376,False,0.19554200040037764
AT5G04375,2.534397131693072,2.073607764621781,0.4607893670712908,0.354426123394856,0.6374674289001376,False,0.19554200040037764
AT3G13880,4.974080062027249,5.278134175890507,-0.3040541138632582,0.3544389615771796,0.6374674289001376,False,0.19554200040037764
AT5G20810,5.335347339409998,5.016791924400965,0.3185554150090333,0.354409036180508,0.6374674289001376,False,0.19554200040037764
AT1G51940,6.66398607068042,6.912252432462858,-0.24826636178243788,0.35443422042317574,0.6374674289001376,False,0.19554200040037764
AT3G28956,7.044054523930081,7.4156258621215265,-0.37157133819144583,0.3544752182865416,0.6374674289001376,False,0.19554200040037764
AT5G60410,8.404773850123073,8.62717795832949,-0.2224041082064172,0.35452127281588364,0.6374895876060779,False,0.1955269043562093
AT2G27130,8.591496590326958,8.838706811620108,-0.24721022129314996,0.3545270020770066,0.6374895876060779,False,0.1955269043562093
AT5G07860,7.738846566009404,7.486158765539032,0.25268780047037254,0.35472490062401574,0.6378002935252965,False,0.19531528522415517
AT1G24300,6.617248121221744,6.833441445277187,-0.21619332405544345,0.35473927619702184,0.6378002935252965,False,0.19531528522415517
AT1G62710,6.4206973251085495,6.746746516851227,-0.3260491917426771,0.3547726963188167,0.6378248870605224,False,0.1952985391818177
AT1G50000,5.818195005052134,6.033617902253433,-0.21542289720129926,0.35482229858386494,0.6378488505553037,False,0.1952822227629012
AT1G68937,0.14091913521943378,0.2786511775428407,-0.1377320423234069,0.3548255096422196,0.6378488505553037,False,0.1952822227629012
AT1G14130,7.084375279389073,7.379884638691085,-0.2955093593020113,0.3548506899375289,0.6378586258591088,False,0.19527556706701474
AT3G53820,3.085205140380198,3.5320023465457444,-0.4467972061655465,0.3548779313107925,0.6378721047410512,False,0.19526638988893225
AT5G17710,9.099751368789619,9.363845887950582,-0.26409451916096316,0.35492222627494463,0.6379162332397188,False,0.19523634609106524
AT1G05717,0.13338114353606081,0.28123650080165913,-0.14785535726559831,0.3549524614107159,0.6379184746872903,False,0.19523482011233814
AT3G46700,6.546859524126514,7.035647859538481,-0.4887883354119671,0.35496296195883825,0.6379184746872903,False,0.19523482011233814
AT2G41090,5.16320657565437,5.440320370452549,-0.2771137947981792,0.35500478631099486,0.6379581534524686,False,0.1952078076749423
AT3G27415,3.1763381542260594,2.845876944862163,0.33046120936389656,0.35508395611806687,0.6380649353847955,False,0.19513512120948498
AT5G23610,8.113756377092809,8.375675065915708,-0.2619186888228988,0.3551263673067838,0.6381056560433167,False,0.1951074058594839
AT1G21690,8.545661143850316,8.816723724104408,-0.27106258025409247,0.3551666449747264,0.6381070529104396,False,0.19510645515325892
AT2G45850,3.2208846220928757,2.7868317543290955,0.43405286776378027,0.35516129052178413,0.6381070529104396,False,0.19510645515325892
AT1G06987,0.7089718034807703,1.2237265432901843,-0.514754739809414,0.3552385018490697,0.638200664826601,False,0.19504274772888594
AT1G70430,4.926892305603031,5.237957087373632,-0.31106478177060026,0.3552728084278012,0.6382268094241773,False,0.19502495673850126
